input.Kundennummer,input.Name,input.Telefon,input.availability,input.call_intent,input.email,outputs.trajectory,execution_time,error,id,feedback.call_reason_identified,feedback.info_duplicate,feedback.techsupport_correctness,assistant_turns,total_turns,avg_turn_duration
KN2908,Ida Krämer,015789643375,Mittwoch von 8 Uhr bis 10 Uhr,Ist die Müllabfuhr in den Nebenkosten enthalten?,surfersimmobilien+predeploy@outlook.com,"[{'content': 'Hallo! Sie haben die digitale Anruf-Assistentin von Surfers Immobilien erreicht. Was kann ich für Sie tun?', 'role': 'assistant'}, {'content': 'Hallo, ich habe eine Frage: Ist die Müllabfuhr in den Nebenkosten enthalten? Können Sie mir da weiterhelfen?', 'id': '63965615-bd86-4188-9350-9d9e52b6712e', 'role': 'user'}, {'content': 'Ja, die Müllabfuhr ist in den Nebenkosten enthalten. Haben Sie noch weitere Fragen?', 'id': '93da7f42-5f6a-4250-b293-77f5a826f1f6', 'role': 'assistant'}, {'content': 'Nein, danke. Das war alles. Auf Wiederhören.', 'id': 'lc_run--01a001cd-99f8-77d0-b043-afa84bf45ec8-0', 'role': 'user'}, {'content': 'Alles klar. Auf Wiederhören!', 'id': '3362e038-2aec-4a61-a881-6dbd8815ba72', 'role': 'assistant'}, {'content': '', 'id': 'lc_run--01a001cd-a3f6-7f03-bbf1-ff8fb830e7af-0', 'role': 'user'}, {'content': '', 'id': '6ed8cd22-278c-4747-8563-3acf80ff8fce', 'role': 'assistant'}]",9.378235,,01a001cd-86ef-7742-abef-545e4ac9e7a8,1.0,0.0,1.0,3,5,1.3397
KN4963,Rainer Hofmann,015789643375,immer mittwochs und freitags,Muss ich meinen Internetvertrag selbst abschließen?,surfersimmobilien+predeploy@outlook.com,"[{'content': 'Hallo! Sie haben die digitale Anruf-Assistentin von Surfers Immobilien erreicht. Was kann ich für Sie tun?', 'role': 'assistant'}, {'content': 'Hallo, ich habe eine Frage: Muss ich meinen Internetvertrag selbst abschließen? Können Sie mir da weiterhelfen?', 'id': 'f1100846-7efd-4c46-ac66-b57ab1403f7e', 'role': 'user'}, {'content': 'Ja, das müssen Sie. Den Internet- und Fernsehvertrag schließen Sie bitte eigenständig direkt mit dem Anbieter ab. Surfers Immobilien ist hier kein Vertragspartner. Haben Sie noch weitere Fragen?', 'id': '8e68cc4f-b664-4454-9062-39826331552c', 'role': 'assistant'}, {'content': 'Nein, danke. Das war alles. Auf Wiederhören.', 'id': 'lc_run--01a001cd-9aa7-7c03-bdea-52564c93cd8f-0', 'role': 'user'}, {'content': 'Alles klar. Dann wünsche ich Ihnen noch einen schönen Tag. Auf Wiederhören!', 'id': '689fbdc6-337a-428a-a8be-0805dce52036', 'role': 'assistant'}, {'content': '', 'id': 'lc_run--01a001cd-a594-72f2-a233-c1d39b08f009-0', 'role': 'user'}, {'content': '', 'id': 'e6973548-7f92-4ffd-afdd-37ad9d45ce7e', 'role': 'assistant'}]",11.377885,,01a001cd-86f3-7862-a439-20e7a138002e,1.0,0.0,1.0,3,5,1.6254
KN8411,Lucia Barak,015789643375,Montag von 10 Uhr bis 13 Uhr,Wo finde ich meine Nebenkostenabrechnung im Kundenportal?,surfersimmobilien+predeploy@outlook.com,"[{'content': 'Hallo! Sie haben die digitale Anruf-Assistentin von Surfers Immobilien erreicht. Was kann ich für Sie tun?', 'role': 'assistant'}, {'content': 'Hallo, ich habe eine Frage: Wo finde ich meine Nebenkostenabrechnung im Kundenportal? Können Sie mir da weiterhelfen?', 'id': 'f2bba037-c5f9-4ecc-abc4-814d8b040d11', 'role': 'user'}, {'content': 'Alles klar. Die Nebenkostenabrechnung wird Ihnen sowohl postalisch als auch über das Kundenportal zur Verfügung gestellt. Dort können Sie diese einfach einsehen.\n\nHaben Sie noch weitere Fragen?', 'id': '5469780c-e396-40cf-abe9-dd2f8b80fe8f', 'role': 'assistant'}, {'content': 'Nein, danke. Das war alles. Auf Wiederhören.', 'id': 'lc_run--01a001cd-9a64-7a40-9412-339791e37c8d-0', 'role': 'user'}, {'content': '', 'id': '99b1483d-fa41-4771-8b3c-96d406c32b9b', 'role': 'assistant'}, {'content': '', 'id': 'lc_run--01a001cd-a6da-77b2-8a30-31ead6f859a8-0', 'role': 'user'}, {'content': 'Da Sie keine weitere Frage haben, verabschiede ich mich. Auf Wiederhören!', 'id': 'c32a4222-e956-4e1a-be08-e9aa8a0ba09b', 'role': 'assistant'}]",11.471681,,01a001cd-86f7-7763-98b5-34d73316dd68,1.0,0.0,1.0,3,5,1.6388
KN1008,Helmut Winter,015789643375,immer mittwochs und freitags,Was ist die Kleinreparaturklausel in meinem Mietvertrag?,surfersimmobilien+predeploy@outlook.com,"[{'content': 'Hallo! Sie haben die digitale Anruf-Assistentin von Surfers Immobilien erreicht. Was kann ich für Sie tun?', 'role': 'assistant'}, {'content': 'Hallo, ich habe eine Frage: Was ist die Kleinreparaturklausel in meinem Mietvertrag? Können Sie mir da weiterhelfen?', 'id': '18023441-ca41-4196-8a7c-e402d0bdf695', 'role': 'user'}, {'content': 'Gemäß der Kleinreparaturklausel übernehmen Sie die Kosten für kleinere Reparaturen, zum Beispiel an Wasserhähnen, Fenstergriffen oder Lichtschaltern, bis zu einem Betrag von einhundert Euro pro Einzelfall. Alle Kosten, die darüber hinausgehen, trägt die Genossenschaft.\n\nHaben Sie noch weitere Fragen?', 'id': 'db99a97f-75bb-4231-9aa8-66f0c7fa9130', 'role': 'assistant'}, {'content': 'Nein, vielen Dank. Das hat mir weitergeholfen. Auf Wiederhören.', 'id': 'lc_run--01a001cd-9b4f-7a81-a41e-a582cacb578d-0', 'role': 'user'}, {'content': 'Gerne. Auf Wiederhören!', 'id': 'ccbc27d3-8085-49b1-b3b8-1d9a73eb3002', 'role': 'assistant'}, {'content': '', 'id': 'lc_run--01a001cd-a6be-7d83-990e-20dea6bf721e-0', 'role': 'user'}, {'content': '', 'id': '97d5ccd3-0f16-41ac-9dc0-00ec9423d2e6', 'role': 'assistant'}]",11.504388,,01a001cd-86f8-7f62-aef0-b0b556a88f8d,1.0,0.0,1.0,3,5,1.6435
KN5970,Andreas Schulz,015789643375,nur vormittags unter der Woche,Welche Nummer muss ich bei einem Wasserrohrbruch anrufen?,surfersimmobilien+predeploy@outlook.com,"[{'content': 'Hallo! Sie haben die digitale Anruf-Assistentin von Surfers Immobilien erreicht. Was kann ich für Sie tun?', 'role': 'assistant'}, {'content': 'Hallo, ich habe eine Frage: Welche Nummer muss ich bei einem Wasserrohrbruch anrufen? Können Sie mir da weiterhelfen?', 'id': '5488eca3-d296-40a9-98a2-21aff36097a7', 'role': 'user'}, {'content': 'Bei einem akuten Wasserrohrbruch rufen Sie bitte sofort die Notfallhotline unter null acht null zero vier fünf sechs sieben acht neun eins an. Das gilt unabhängig von den Öffnungszeiten.\n\nHaben Sie noch weitere Fragen?', 'id': 'b55326c5-2ab8-4a4a-bcc2-473d95bcb45c', 'role': 'assistant'}, {'content': 'Nein, danke. Das war alles. Auf Wiederhören.', 'id': 'lc_run--01a001cd-baa3-7860-873a-818dd89b4e70-0', 'role': 'user'}, {'content': 'Alles klar. Auf Wiederhören!', 'id': '3a507742-a30d-4176-8275-4584e842df96', 'role': 'assistant'}, {'content': '', 'id': 'lc_run--01a001cd-c350-7903-907d-349697f3f4bf-0', 'role': 'user'}, {'content': '', 'id': '499f5a2f-1184-42b9-bb21-59d027f1f584', 'role': 'assistant'}]",9.824409,,01a001cd-ab93-7e10-bf76-40c53db687cb,1.0,0.0,1.0,3,5,1.4035
KN7893,Meta Arnold,015789643375,Montag von 10 Uhr bis 13 Uhr,Bekomme ich meine Abrechnung auch per Post zugeschickt?,surfersimmobilien+predeploy@outlook.com,"[{'content': 'Hallo! Sie haben die digitale Anruf-Assistentin von Surfers Immobilien erreicht. Was kann ich für Sie tun?', 'role': 'assistant'}, {'content': 'Hallo, ich habe eine Frage: Bekomme ich meine Abrechnung auch per Post zugeschickt? Können Sie mir da weiterhelfen?', 'id': 'bd70192b-27c8-4727-a82b-30b59d3970ec', 'role': 'user'}, {'content': 'Ja, die Abrechnung wird Ihnen sowohl per Post zugeschickt als auch im Kundenportal bereitgestellt. Haben Sie noch weitere Fragen?', 'id': '5ca0a469-66c2-4c05-b1ad-e7ee56e1763d', 'role': 'assistant'}, {'content': 'Nein, danke. Das war alles. Auf Wiederhören.', 'id': 'lc_run--01a001cd-bf98-7da0-85ba-b571d0698cdb-0', 'role': 'user'}, {'content': 'Alles klar. Dann wünsche ich Ihnen noch einen schönen Tag. Auf Wiederhören!', 'id': 'ab348f71-3369-46ff-8f1b-1c4ab1547898', 'role': 'assistant'}, {'content': '', 'id': 'lc_run--01a001cd-c87f-78a3-bf80-2e952fbfbc1b-0', 'role': 'user'}, {'content': '', 'id': '0055f5ac-08ed-49d0-8dac-5f663905c87c', 'role': 'assistant'}]",9.311088,,01a001cd-b366-7f23-bf57-56c2bb30e830,1.0,0.0,1.0,3,5,1.3302
KN4487,Theodor Engel,015789643375,den ganzen Mittwoch,"Was passiert, wenn ich die Widerspruchsfrist verpasse?",surfersimmobilien+predeploy@outlook.com,"[{'content': 'Hallo! Sie haben die digitale Anruf-Assistentin von Surfers Immobilien erreicht. Was kann ich für Sie tun?', 'role': 'assistant'}, {'content': 'Hallo, ich habe eine Frage: Was passiert, wenn ich die Widerspruchsfrist verpasse? Können Sie mir da weiterhelfen?', 'id': 'e818d554-7886-4895-b7ff-b2446552de97', 'role': 'user'}, {'content': 'Wenn Sie die Frist von zwölf Monaten nach Erhalt der Abrechnung verpassen, gilt diese als anerkannt. Haben Sie noch weitere Fragen?', 'id': 'd94f3994-c74c-4255-b326-e3671b2dcfcf', 'role': 'assistant'}, {'content': 'Nein, danke. Das war alles. Auf Wiederhören.', 'id': 'lc_run--01a001cd-c27f-7dc2-bebf-f8d927a5de29-0', 'role': 'user'}, {'content': 'Alles klar. Auf Wiederhören!', 'id': 'a1595966-f0b5-4826-8a12-8d2a465eb868', 'role': 'assistant'}, {'content': '', 'id': 'lc_run--01a001cd-cc42-72c2-a89a-98b0941900a1-0', 'role': 'user'}, {'content': '', 'id': '606dee9f-fbf8-4543-8000-7dafffcdf651', 'role': 'assistant'}]",11.448925,,01a001cd-b3c8-7660-a103-df7dd8915184,1.0,0.0,1.0,3,5,1.6356
KN5420,Hans Groß,015789643375,den ganzen Montag,Wie oft wird die gelbe Tonne geleert?,surfersimmobilien+predeploy@outlook.com,"[{'content': 'Hallo! Sie haben die digitale Anruf-Assistentin von Surfers Immobilien erreicht. Was kann ich für Sie tun?', 'role': 'assistant'}, {'content': 'Hallo, ich habe eine Frage: Wie oft wird die gelbe Tonne geleert? Können Sie mir da weiterhelfen?', 'id': '3221fc27-8c42-4210-a767-453537ae2411', 'role': 'user'}, {'content': 'Die gelbe Tonne wird jeden zweiten Mittwoch geleert. Haben Sie noch weitere Fragen?', 'id': '6620fb48-5759-46c7-9693-53dd7fa5f46a', 'role': 'assistant'}, {'content': 'Nein, danke. Das war alles. Auf Wiederhören.', 'id': 'lc_run--01a001cd-c24e-78c1-a13a-b40303f911cb-0', 'role': 'user'}, {'content': 'Alles klar. Auf Wiederhören!', 'id': '188ba706-bf48-426a-b018-65d0986d318c', 'role': 'assistant'}, {'content': '', 'id': 'lc_run--01a001cd-cc51-7b12-8502-4157693a66d3-0', 'role': 'user'}, {'content': '', 'id': 'c72445bc-2d63-4335-a15a-02063631cf3f', 'role': 'assistant'}]",9.950771,,01a001cd-b3ea-7cb3-8c6a-8ce3daebaac0,1.0,0.0,1.0,3,5,1.4215
KN7332,Doris Simon,015789643375,Dienstag von 9 Uhr bis 11 Uhr,Brauche ich für eine Untervermietung eine schriftliche Zustimmung?,surfersimmobilien+predeploy@outlook.com,"[{'content': 'Hallo! Sie haben die digitale Anruf-Assistentin von Surfers Immobilien erreicht. Was kann ich für Sie tun?', 'role': 'assistant'}, {'content': 'Hallo, ich habe eine Frage: Brauche ich für eine Untervermietung eine schriftliche Zustimmung? Können Sie mir da weiterhelfen?', 'id': '44c1297e-4425-4498-b2c6-a204c2cd162f', 'role': 'user'}, {'content': 'Ja, eine Untervermietung ist nur mit einer vorherigen schriftlichen Zustimmung der Genossenschaft erlaubt. Haben Sie noch weitere Fragen?', 'id': '25c91018-1194-4061-af22-c041096756de', 'role': 'assistant'}, {'content': 'Nein, danke. Das war alles. Auf Wiederhören.', 'id': 'lc_run--01a001cd-ea6a-7142-8ad8-1d72b3ad3640-0', 'role': 'user'}, {'content': 'Alles klar. Auf Wiederhören!', 'id': 'c5c34e0b-d0b2-44d0-9592-8e2f3a107e93', 'role': 'assistant'}, {'content': '', 'id': 'lc_run--01a001cd-f26d-76d1-aa4a-665038aa5ff6-0', 'role': 'user'}, {'content': '', 'id': '179890ab-bf80-4317-8153-b4708e67209b', 'role': 'assistant'}]",12.090306,,01a001cd-d1f5-7230-9bb6-24eb8975fb0d,1.0,0.0,1.0,3,5,1.7272
KN2643,Kaspar Nagel,015789643375,Mittwoch von 10 Uhr bis 13 Uhr,Wie oft kommt die Fachfirma zur Rauchmelderwartung vorbei?,surfersimmobilien+predeploy@outlook.com,"[{'content': 'Hallo! Sie haben die digitale Anruf-Assistentin von Surfers Immobilien erreicht. Was kann ich für Sie tun?', 'role': 'assistant'}, {'content': 'Hallo, ich habe eine Frage: Wie oft kommt die Fachfirma zur Rauchmelderwartung vorbei? Können Sie mir da weiterhelfen?', 'id': 'd462af4c-7f79-455c-a397-849dccc79a43', 'role': 'user'}, {'content': 'Die Fachfirma kommt einmal jährlich im Herbst vorbei, um die Rauchmelder zu warten und zu prüfen.', 'id': '7d6496bd-8601-43cb-a10d-85a646ba0fcf', 'role': 'assistant'}, {'content': 'Vielen Dank, das beantwortet meine Frage. Auf Wiederhören.', 'id': 'lc_run--01a001cd-ecd6-72f3-b724-98f841c7ada9-0', 'role': 'user'}, {'content': 'Gern geschehen. Auf Wiederhören!', 'id': '4e8fc7ff-1248-4692-a5ee-1a836e862970', 'role': 'assistant'}, {'content': '', 'id': 'lc_run--01a001cd-f748-75b0-aed5-5163397e54b9-0', 'role': 'user'}, {'content': '', 'id': 'e2b14bc9-3fc8-42a3-b8e5-fa2a5ec436c0', 'role': 'assistant'}]",11.33823,,01a001cd-d7c7-7553-bf8c-d0e2a2723bda,1.0,0.0,1.0,3,5,1.6197
